gene	chrom	start	end	strand	n_introns	K	n_chain_reads	primary_at_gene	primary_frac	n_secondary	n_sib_chain_match	n_seq_favors_sibling	nm_rate_gene	nm_rate_primary	dom_sibling	dom_sibling_n	klass
gene-LOC129530018	NC_073247.2	161251221	161257000	-	9	3	50	30	0.6	20	20	20	0.0017	0.0017	gene-MAGEA9	20	primary_sufficient
gene-LOC134756757	NC_073236.2	24336627	24396462	+	11	4	50	3	0.06	47	8	43	0.1103	0.0012	NC_073236.2:intergenic	35	secondary_dependent_identifiable
gene-LOC129532835	NC_073227.2	211923546	211926530	-	2	2	50	6	0.12	44	3	44	0.0051	0.001	NC_073240.2:intergenic	36	secondary_dependent_identifiable
gene-LOC129526550	NC_073239.2	44147112	44169004	+	8	3	49	15	0.306	34	13	34	0.0213	0.0027	NC_073240.2:intergenic	17	primary_sufficient
gene-NEK10	NC_086017.1	36943487	37209794	-	41	8	49	49	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-SNX29	NC_073242.2	34586248	35216455	-	30	8	49	46	0.939	3	3	3	0.0	0.0	gene-LOC129527637	3	primary_sufficient
gene-LOC101142457	NC_073247.2	167707350	167723194	-	23	8	48	15	0.312	33	29	33	0.0095	0.0017	gene-RABL2B	19	primary_sufficient
gene-LOC109029264	NC_073234.2	24978856	24995090	+	14	5	48	40	0.833	8	8	8	0.0198	0.0126	gene-LOC115930232	8	primary_sufficient
gene-PPTC7	NC_073234.2	125947073	125995580	-	5	2	47	21	0.447	26	0	26	0.0176	0.0018	gene-LOC109023949	26	primary_sufficient
gene-POLR3K	NC_073242.2	3666817	3673476	-	2	2	47	22	0.468	25	10	25	0.0013	0.0	NC_073235.2:intergenic	12	primary_sufficient
gene-COL24A1	NC_073224.2	153834313	154251930	+	60	8	46	46	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129527695	NC_073242.2	99261636	99322282	-	19	7	46	18	0.391	28	12	28	0.0261	0.0013	gene-LOC109023634	9	primary_sufficient
gene-LOC101131923	NC_073242.2	21638781	21673773	-	12	4	45	45	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC109025523	NC_073236.2	35272254	35414028	-	78	8	45	32	0.711	13	13	9	0.0228	0.0022	gene-ANKRD36C	9	primary_sufficient
gene-SEMA6D	NC_073240.2	48004261	48594530	+	28	8	45	45	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-KIAA1328	NC_073241.2	66046350	66449775	+	14	5	44	44	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101143406	NC_073232.2	68617603	68676510	+	15	5	44	2	0.045	42	10	42	0.0322	0.0012	NC_073232.2:intergenic	31	secondary_dependent_identifiable
gene-NEURL1B	NC_073228.2	176450679	176500914	+	5	2	44	44	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-TRIM50	NC_073230.2	82405971	82421324	-	9	3	44	23	0.523	21	0	21	0.037	0.0009	NC_073230.2:intergenic	21	primary_sufficient
gene-LOC129526398	NC_073238.2	24580331	24653974	+	25	8	43	43	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129523491	NC_073230.2	14200370	14262572	+	34	8	43	31	0.721	12	11	11	0.0074	0.0054	gene-LOC101143487	11	primary_sufficient
gene-LOC101143487	NC_073230.2	13341510	13403745	-	34	8	43	12	0.279	31	31	30	0.0057	0.0045	gene-LOC129523491	31	primary_sufficient
gene-LOC101142904	NC_073246.2	2221699	2244401	-	9	3	43	32	0.744	11	9	11	0.0053	0.0028	gene-LOC129530552	8	primary_sufficient
gene-LOC101136352	NC_073240.2	23210840	23219738	-	10	4	43	35	0.814	8	8	8	0.0031	0.0	gene-LOC101152610	8	primary_sufficient
gene-RHBDF1	NC_073242.2	3677891	3696102	-	19	7	43	36	0.837	7	7	6	0.0027	0.0027	gene-LOC101144552	7	primary_sufficient
gene-CASK	NC_073247.2	51889303	52302002	-	32	8	42	42	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CDRT4	NC_073243.2	30723406	30848072	-	26	8	42	42	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115933349	NC_073242.2	31481287	31520484	-	13	5	42	42	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101128088	NC_073242.2	96161178	96171219	+	12	4	42	15	0.357	27	27	27	0.0297	0.0017	gene-LOC115931020	27	primary_sufficient
gene-LOC115931020	NC_073242.2	96073491	96083691	+	11	4	42	27	0.643	15	13	15	0.0261	0.0003	gene-LOC101128088	13	primary_sufficient
gene-LOC101145660	NC_073240.2	23674709	23695308	+	9	3	41	24	0.585	17	0	17	0.0179	0.0037	NC_073240.2:intergenic	17	primary_sufficient
gene-BTBD9	NC_073229.2	55931398	56413416	-	14	5	40	40	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-MRTFB	NC_073242.2	32891393	33088983	-	29	8	39	39	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129527341	NC_073242.2	35266405	35357739	-	22	8	39	35	0.897	4	3	4	0.0029	0.0009	gene-LOC115933144	2	primary_sufficient
gene-LOC129534346	NC_073229.2	87181908	87236535	-	4	2	39	35	0.897	4	1	4	0.0987	0.0224	NC_073229.2:intergenic	3	primary_sufficient
gene-LOC129525730	NC_073224.2	115040229	115050410	-	5	2	39	30	0.769	9	0	9	0.0249	0.0067	NC_073224.2:intergenic	9	primary_sufficient
gene-LOC115932675	NC_073238.2	31353277	31413443	-	8	3	39	16	0.41	23	21	23	0.0099	0.001	gene-LOC109029477	21	primary_sufficient
gene-PDPK1	NC_073242.2	6159400	6232980	+	13	5	38	38	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LRRC37A3	NC_073228.2	27078563	27155808	+	16	6	37	11	0.297	26	22	26	0.0654	0.0023	gene-LOC115934626	9	primary_sufficient
gene-LOC129531453	NC_073240.2	15964130	16028854	+	7	3	37	15	0.405	22	17	21	0.0143	0.0022	gene-LOC129526471	10	primary_sufficient
gene-ZGRF1	NC_073227.2	132915966	133012870	-	34	8	37	37	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129523694	NC_073230.2	64705342	64721271	+	3	2	36	2	0.056	34	0	34	0.0083	0.0011	NC_073230.2:intergenic	34	secondary_dependent_identifiable
gene-CCDC7	NC_073232.2	86221663	86681338	-	64	8	36	36	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129532935	NC_073224.2	116693693	116761097	+	13	5	36	10	0.278	26	23	25	0.0148	0.0026	gene-LOC129525208	16	primary_sufficient
gene-LOC129526471	NC_073236.2	22676072	22771560	+	12	4	36	13	0.361	23	13	23	0.0141	0.0011	gene-LOC129531453	8	primary_sufficient
gene-LOC101153153	NC_073247.2	62823559	62833948	-	11	4	36	17	0.472	19	18	19	0.0025	0.0025	gene-LOC129529923	18	primary_sufficient
gene-LOC129529923	NC_073247.2	62876872	62915482	+	11	4	36	19	0.528	17	16	17	0.004	0.004	gene-LOC101153153	16	primary_sufficient
gene-LOC101153611	NC_073244.2	68333023	68425548	-	14	5	36	36	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-PEX26	NC_086018.1	16099671	16126384	+	8	3	36	36	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-OMA1	NC_073224.2	181437746	181523822	+	14	5	35	35	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129525208	NC_073224.2	129295726	129351497	+	8	3	35	16	0.457	19	18	15	0.0301	0.0107	gene-LOC129532935	10	primary_sufficient
gene-OPHN1	NC_073247.2	79816661	80205818	-	26	8	35	35	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-FOXO3	NC_073229.2	132729758	132855160	+	5	2	35	28	0.8	7	0	7	0.0255	0.0042	gene-LOC101124084	7	primary_sufficient
gene-CCNJL	NC_073228.2	164078219	164139249	-	5	2	35	35	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101149915	NC_073233.2	97509343	97571830	+	25	8	35	27	0.771	8	8	8	0.0199	0.0015	gene-LOC101147888	8	primary_sufficient
gene-LOC129523581	NC_073224.2	125672802	125728554	-	11	4	34	9	0.265	25	24	23	0.0051	0.0044	gene-LOC129525208	15	primary_sufficient
gene-MYH15	NC_086017.1	119253925	119427106	-	44	8	32	32	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-ATG10	NC_073228.2	86038085	86338510	+	12	4	32	32	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-RFX6	NC_073229.2	141075882	141132474	+	20	7	32	32	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129524028	NC_073231.2	151094105	151120835	+	10	4	32	27	0.844	5	5	5	0.0328	0.0248	gene-SLC35F5	4	primary_sufficient
gene-LOC134758618	NC_073228.2	179980535	180020635	-	5	2	32	16	0.5	16	0	16	0.0149	0.0039	NC_073228.2:intergenic	16	primary_sufficient
gene-LOC109029477	NC_073240.2	22426185	22542020	-	13	5	32	30	0.938	2	0	2	0.0572	0.0045	gene-LOC129523500	2	primary_sufficient
gene-MIGA1	NC_073224.2	162077117	162172927	-	21	7	32	32	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129531862	NC_073236.2	31659478	31700747	+	15	5	32	17	0.531	15	13	13	0.0191	0.0073	gene-LOC109028262	11	primary_sufficient
gene-LOC129527049	NC_073240.2	22071960	22122411	+	17	6	32	29	0.906	3	1	3	0.0072	0.0009	gene-LOC101138791	2	primary_sufficient
gene-LOC101145464	NC_073247.2	147586733	147600705	-	6	2	32	20	0.625	12	10	11	0.0087	0.0022	gene-LOC115932143	6	primary_sufficient
gene-LOC129528236	NC_073241.2	33108942	33143199	-	5	2	31	0	0.0	31	10	31	0.018	0.0025	NC_073239.2:intergenic	11	secondary_dependent_identifiable
gene-PPIP5K1	NC_073240.2	44345344	44402689	-	43	8	31	13	0.419	18	8	16	0.0016	0.0005	gene-CATSPER2	10	primary_sufficient
gene-LOC129534200	NC_073229.2	44400879	44412480	+	4	2	31	13	0.419	18	0	18	0.0012	0.0012	NC_073229.2:intergenic	18	primary_sufficient
gene-LOC129526391	NC_073236.2	25270774	25322453	+	7	3	31	10	0.323	21	18	20	0.0129	0.0022	gene-LOC129526471	10	primary_sufficient
gene-LOC101148088	NC_073247.2	62680283	62685351	-	6	2	31	17	0.548	14	14	14	0.001	0.001	gene-LOC115932194	14	primary_sufficient
gene-LOC109023634	NC_073242.2	104219042	104241390	+	10	4	31	13	0.419	18	11	18	0.0054	0.0015	gene-LOC129527723	5	primary_sufficient
gene-LOC129531867	NC_073236.2	31364805	31388732	-	6	2	31	25	0.806	6	0	6	0.0073	0.0041	NC_073236.2:intergenic	6	primary_sufficient
gene-EFCAB6	NC_086018.1	41519274	41811007	-	40	8	31	31	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-GIPC1	NC_073244.2	20512322	20529798	-	10	4	31	31	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CACNA2D3	NC_086017.1	63995945	64935673	+	39	8	31	31	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC134756954	NC_073224.2	117424528	117438415	-	4	2	31	18	0.581	13	12	13	0.0172	0.0012	gene-LOC115932984	7	primary_sufficient
gene-LOC115932771	NC_086017.1	207202770	207214438	+	3	2	30	3	0.1	27	1	27	0.029	0.0015	NC_086017.1:intergenic	25	secondary_dependent_identifiable
gene-LOC115932827	NC_073242.2	104139380	104162003	-	12	4	30	2	0.067	28	12	28	0.4445	0.1564	gene-LOC101147502	14	secondary_dependent_identifiable
gene-LOC109028262	NC_073236.2	31319932	31363471	-	15	5	30	11	0.367	19	14	19	0.0073	0.0042	gene-LOC129531862	12	primary_sufficient
gene-LOC115932143	NC_073247.2	147502478	147517296	+	9	3	30	6	0.2	24	22	10	0.0088	0.009	gene-LOC101145464	18	secondary_dependent_identifiable
gene-YAE1	NC_073230.2	47037163	47043663	+	2	2	30	21	0.7	9	0	9	0.0069	0.0011	NC_073230.2:intergenic	9	primary_sufficient
gene-LOC115932194	NC_073247.2	62664011	62669079	+	6	2	30	14	0.467	16	16	16	0.0	0.0	gene-LOC101148088	16	primary_sufficient
gene-ALG10	NC_073234.2	67143469	67159065	-	4	2	30	18	0.6	12	12	12	0.0337	0.0012	gene-ALG10B	12	primary_sufficient
gene-LOC129531431	NC_073236.2	26234707	26248578	-	8	3	30	3	0.1	27	11	27	0.0178	0.0019	NC_073239.2:intergenic	9	secondary_dependent_identifiable
gene-LOC101138917	NC_086017.1	209207564	209214545	-	4	2	30	26	0.867	4	3	4	0.0246	0.0012	gene-LOC115932771	3	primary_sufficient
gene-FKTN	NC_073237.2	101815245	101907680	+	23	8	29	29	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101144261	NC_073232.2	68345369	68394081	-	14	5	29	5	0.172	24	11	24	0.0253	0.0025	NC_073232.2:intergenic	13	secondary_dependent_identifiable
gene-SCN8A	NC_073234.2	49537636	49754505	-	32	8	29	29	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC134757432	NC_073242.2	30617227	30623810	-	2	2	29	12	0.414	17	4	17	0.0878	0.001	gene-LOC134757427	13	primary_sufficient
gene-LOC101127437	NC_073224.2	101600508	101607690	+	12	4	29	17	0.586	12	12	12	0.0505	0.0007	gene-GBA1	12	primary_sufficient
gene-ZFP2	NC_073228.2	182864377	182902427	+	4	2	29	29	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101134596	NC_086018.1	19017795	19040301	+	19	7	29	16	0.552	13	13	13	0.0136	0.0008	gene-PI4KA	13	primary_sufficient
gene-LOC115933283	NC_073230.2	80967110	80977661	+	6	2	28	0	0.0	28	1	28	0.0107	0.0047	NC_073230.2:intergenic	25	secondary_dependent_identifiable
gene-LOC129527725	NC_073242.2	104701006	104723769	-	11	4	28	9	0.321	19	5	19	0.5187	0.1918	gene-LOC101147502	14	primary_sufficient
gene-LOC109028916	NC_073233.2	33859239	34035889	+	7	3	28	28	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115934923	NC_086017.1	101136408	101249184	-	5	2	28	13	0.464	15	12	15	0.0233	0.0014	gene-PRIM2	12	primary_sufficient
gene-LOC129528469	NC_073241.2	32537472	32577140	-	10	4	28	3	0.107	25	3	25	0.0151	0.0026	gene-LOC129526379	10	secondary_dependent_identifiable
gene-ALG10B	NC_073234.2	62949047	62961956	-	3	2	28	14	0.5	14	14	14	0.0333	0.002	gene-ALG10	14	primary_sufficient
gene-LOC129525646	NC_073224.2	117396738	117422110	-	5	2	28	26	0.929	2	2	2	0.0177	0.0087	gene-LOC101126097	2	primary_sufficient
gene-LOC115931857	NC_073246.2	15789286	15821671	+	2	2	27	18	0.667	9	9	9	0.0221	0.0148	gene-ZNF519	9	primary_sufficient
gene-LOC109023127	NC_073229.2	75502603	75566279	-	9	3	27	27	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101138622	NC_073240.2	20081222	20091414	+	4	2	26	1	0.038	25	2	25	0.0179	0.0023	NC_073238.2:intergenic	7	secondary_dependent_identifiable
gene-LOC129526379	NC_073238.2	24426913	24466382	+	11	4	26	16	0.615	10	2	10	0.0133	0.0027	NC_073241.2:intergenic	4	primary_sufficient
gene-LOC115933573	NC_073236.2	31528777	31570066	-	6	2	26	22	0.846	4	4	4	0.0158	0.001	gene-LOC101141821	4	primary_sufficient
gene-LOC101131416	NC_073235.2	31672554	31678331	-	11	4	26	10	0.385	16	16	16	0.019	0.0034	gene-LOC115930154	16	primary_sufficient
gene-APOBEC3F	NC_086018.1	37043278	37058621	+	7	3	26	11	0.423	15	4	8	0.0785	0.0696	gene-APOBEC3B	11	primary_sufficient
gene-LOC129523522	NC_073242.2	68760373	68772400	+	7	3	26	13	0.5	13	1	13	0.0029	0.0025	NC_073242.2:intergenic	11	primary_sufficient
gene-LOC129527830	NC_073242.2	66889417	66901400	+	6	2	26	3	0.115	23	7	23	0.003	0.0023	NC_073242.2:intergenic	15	secondary_dependent_identifiable
gene-LOC129525065	NC_073232.2	8659069	8900348	-	59	8	25	7	0.28	18	13	16	0.1257	0.0398	gene-LOC134758023	8	primary_sufficient
gene-IRAK3	NC_073234.2	81414876	81530495	+	13	5	25	25	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-PDZK1	NC_073224.2	116055346	116092171	-	8	3	24	11	0.458	13	11	13	0.0152	0.0046	gene-LOC101142064	13	primary_sufficient
gene-LOC129533419	NC_073228.2	182473922	182496031	+	9	3	24	18	0.75	6	5	6	0.0101	0.0082	gene-LOC101137455	3	primary_sufficient
gene-MED12L	NC_086017.1	162240500	162589283	+	51	8	23	23	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-PTPN14	NC_073224.2	42258370	42461078	+	18	6	23	23	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129523466	NC_073230.2	76469222	76502828	+	9	3	23	7	0.304	16	10	14	0.0129	0.0063	gene-LOC115933256	10	primary_sufficient
gene-LOC101139671	NC_073228.2	54773739	54830309	+	13	5	23	23	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115933306	NC_073228.2	54239509	54254353	+	17	6	23	9	0.391	14	14	14	0.014	0.0032	gene-LOC115934662	9	primary_sufficient
gene-LOC101143855	NC_073230.2	14245232	14272560	-	15	5	23	6	0.261	17	15	17	0.0028	0.0019	gene-LOC115935294	15	primary_sufficient
gene-LOC115935294	NC_073230.2	13331331	13358700	+	15	5	23	17	0.739	6	5	6	0.0042	0.0031	gene-LOC101143855	5	primary_sufficient
gene-CDH12	NC_073243.2	89044155	90148243	+	17	6	22	22	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101142064	NC_073224.2	124554219	124594224	-	8	3	22	11	0.5	11	11	11	0.0095	0.0037	gene-PDZK1	11	primary_sufficient
gene-LOC115930101	NC_073244.2	21272872	21304798	+	17	6	22	6	0.273	16	6	16	0.0436	0.0033	NC_073242.2:intergenic	7	primary_sufficient
gene-KLHL2	NC_073227.2	186128278	186243449	+	21	7	22	22	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-NHSL2	NC_073247.2	83649965	83892868	+	12	4	22	22	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115930154	NC_073235.2	32750478	32755949	+	14	5	22	12	0.545	10	10	10	0.0332	0.0131	gene-LOC101131416	10	primary_sufficient
gene-OTUD7A	NC_073240.2	31898372	32284814	+	14	5	21	21	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115934662	NC_073228.2	56462389	56473357	+	14	5	21	10	0.476	11	10	11	0.0161	0.0038	gene-LOC129533792	5	primary_sufficient
gene-LOC101145835	NC_073247.2	113995827	114010010	+	12	4	21	4	0.19	17	5	17	0.0006	0.0003	NC_073247.2:intergenic	12	secondary_dependent_identifiable
gene-LOC109027124	NC_073229.2	194862621	194883872	-	6	2	21	10	0.476	11	2	11	0.0327	0.0027	gene-LOC129526855	5	primary_sufficient
gene-LOC129523579	NC_073240.2	22813273	22841893	-	4	2	21	8	0.381	13	0	13	0.0059	0.0043	NC_073240.2:intergenic	13	primary_sufficient
gene-RIPOR2	NC_073229.2	42494176	42726118	-	31	8	20	20	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115930578	NC_073239.2	99541660	99594508	+	3	2	20	20	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101138791	NC_073240.2	21241976	21280969	+	8	3	20	12	0.6	8	7	8	0.01	0.0027	gene-LOC115933317	4	primary_sufficient
gene-AGAP6	NC_073232.2	65870288	65904518	-	9	3	20	10	0.5	10	8	10	0.0157	0.0015	gene-LOC101141934	6	primary_sufficient
gene-FMO1	NC_073224.2	85471385	85508846	-	9	3	20	20	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-GNB1L	NC_086018.1	17222222	17289595	-	12	4	20	20	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115933775	NC_073224.2	130279046	130303381	-	11	4	20	16	0.8	4	0	4	0.0129	0.0106	NC_073224.2:intergenic	2	primary_sufficient
gene-LOC109029488	NC_073224.2	124234138	124245278	-	9	3	20	19	0.95	1	1	1	0.0287	0.0092	gene-LOC115932735	1	primary_sufficient
gene-LOC101124208	NC_073243.2	110581057	110612087	+	13	5	20	20	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-GALNT17	NC_073230.2	80318433	80902592	+	11	4	20	20	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-THSD4	NC_073240.2	71957776	72650820	+	25	8	19	19	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-BCAS4	NC_073245.2	63060896	63142961	+	7	3	19	19	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-ZNF704	NC_073231.2	39476458	39726263	+	11	4	19	19	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115931421	NC_073241.2	110132872	110200377	+	11	4	19	1	0.053	18	8	18	0.0135	0.0016	NC_073231.2:intergenic	7	secondary_dependent_identifiable
gene-ATRNL1	NC_073232.2	127392175	128245395	+	31	8	19	19	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129525002	NC_073232.2	68321185	68344645	-	15	5	19	11	0.579	8	3	8	0.0069	0.0006	gene-LOC101143406	5	primary_sufficient
gene-LOC115934290	NC_073246.2	11244143	11273744	+	7	3	19	0	0.0	19	0	19	0.0259	0.0016	NC_073236.2:intergenic	19	secondary_dependent_identifiable
gene-ASIC2	NC_073228.2	58846208	59985052	+	10	4	18	18	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-DACH1	NC_073238.2	86147854	86576541	-	12	4	18	18	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CSMD1	NC_073231.2	7298579	9369986	-	70	8	18	18	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129530010	NC_073247.2	84611044	84684493	-	10	4	18	9	0.5	9	6	9	0.0045	0.0023	gene-DMRTC1B	6	primary_sufficient
gene-DMRTC1B	NC_073247.2	84513032	84586428	+	11	4	18	9	0.5	9	7	9	0.0008	0.0008	gene-LOC129530010	7	primary_sufficient
gene-LOC129534553	NC_073229.2	195494815	195534834	+	16	6	18	5	0.278	13	5	13	0.0138	0.0014	NC_073231.2:intergenic	7	primary_sufficient
gene-RFPL4A	NC_073244.2	67776055	67779514	+	2	2	18	5	0.278	13	12	13	0.029	0.0068	gene-LOC109024957	7	primary_sufficient
gene-SMIM10L1	NC_073234.2	26570407	26822004	+	6	2	17	17	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129523543	NC_073240.2	86475110	86482753	+	9	3	17	0	0.0	17	7	15	0.0246	0.0032	NC_073240.2:intergenic	10	secondary_dependent_identifiable
gene-LOC129524663	NC_073237.2	14387924	14426526	+	9	3	17	3	0.176	14	3	14	0.0156	0.0018	NC_073241.2:intergenic	7	secondary_dependent_identifiable
gene-LOC101142742	NC_073228.2	81186258	81227702	+	7	3	17	17	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115931110	NC_073242.2	29211219	29248885	+	16	6	16	5	0.312	11	3	11	0.0116	0.0016	NC_073242.2:intergenic	4	primary_sufficient
gene-LOC115933101	NC_073242.2	18345287	18375143	-	4	2	16	2	0.125	14	0	14	0.0127	0.006	NC_073242.2:intergenic	14	secondary_dependent_identifiable
gene-MAGI3	NC_073224.2	117789460	118085486	+	23	8	16	16	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115933339	NC_073228.2	56595999	56637906	-	3	2	16	9	0.562	7	6	6	0.0337	0.012	gene-LOC115933340	5	primary_sufficient
gene-LOC101136934	NC_073234.2	70022021	70131253	+	30	8	16	16	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC134757229	NC_073240.2	24748708	24786552	-	12	4	16	10	0.625	6	5	5	0.0291	0.0393	gene-LOC115930830	4	primary_sufficient
gene-LOC129527074	NC_073240.2	25434710	25638429	+	13	5	16	16	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129526914	NC_073240.2	84057516	84068088	+	9	3	16	4	0.25	12	4	11	0.0282	0.0037	NC_073240.2:intergenic	8	secondary_dependent_identifiable
gene-LOC115932824	NC_073228.2	179961149	179977402	-	7	3	16	10	0.625	6	5	6	0.0138	0.0058	gene-LOC101137455	3	primary_sufficient
gene-LOC115930840	NC_073240.2	85708746	85718110	-	8	3	16	3	0.188	13	4	13	0.0307	0.0029	NC_073240.2:intergenic	9	secondary_dependent_identifiable
gene-GAREM1	NC_073241.2	61504210	61711423	-	6	2	15	15	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-KCTD1	NC_073241.2	55690746	55893090	-	6	2	15	15	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129527948	NC_073243.2	112863784	112887174	+	9	3	15	0	0.0	15	7	15	0.0147	0.0038	gene-SLC35F5	6	secondary_dependent_identifiable
gene-LOC115933177	NC_073240.2	20974663	21035666	-	20	7	15	4	0.267	11	10	11	0.0177	0.0008	gene-LOC115933107	10	primary_sufficient
gene-LOC101133404	NC_073243.2	31050377	31127805	+	36	8	15	15	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129528715	NC_073244.2	67821739	67825229	+	3	2	15	4	0.267	11	8	11	0.0077	0.0068	gene-LOC109024957	9	primary_sufficient
gene-LOC129527071	NC_073240.2	24898209	24912695	-	19	7	15	4	0.267	11	7	11	0.0051	0.0022	NC_073240.2:intergenic	4	primary_sufficient
gene-CD1D	NC_073224.2	98636668	98643854	-	11	4	14	14	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101143516	NC_073232.2	64998892	65011730	-	9	3	14	3	0.214	11	5	11	0.0203	0.0018	NC_073232.2:intergenic	6	secondary_dependent_identifiable
gene-LOC134756448	NC_073224.2	223540566	223547051	+	4	2	14	14	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC134758747	NC_073224.2	19222190	19225185	+	4	2	14	0	0.0	14	3	14	0.026	0.0029	NC_073240.2:intergenic	5	secondary_dependent_identifiable
gene-ROBO2	NC_086017.1	85943681	87694575	+	37	8	14	14	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101144369	NC_073238.2	26537340	26593044	+	19	7	14	9	0.643	5	1	5	0.0153	0.0038	gene-LOC129526395	3	primary_sufficient
gene-LOC101138086	NC_073228.2	181632357	181676482	+	19	7	14	14	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115930163	NC_073242.2	104723483	104781487	+	15	5	14	3	0.214	11	3	11	0.0123	0.0008	gene-LOC129527695	5	secondary_dependent_identifiable
gene-LOC129534593	NC_073224.2	19092637	19123590	+	60	8	14	2	0.143	12	3	12	0.0133	0.0029	NC_073240.2:intergenic	4	secondary_dependent_identifiable
gene-LOC101127139	NC_073230.2	84294167	84310308	-	6	2	14	0	0.0	14	1	14	0.0265	0.0051	NC_073230.2:intergenic	11	secondary_dependent_identifiable
gene-ZNF391	NC_073229.2	44984203	45020999	+	5	2	14	14	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101141934	NC_073232.2	69689756	69712562	-	8	3	14	8	0.571	6	6	6	0.0188	0.0019	gene-LOC101143406	2	primary_sufficient
gene-HNRNPA1L2	NC_073238.2	67052863	67064219	+	3	2	13	13	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101129526	NC_073242.2	16107537	16189037	-	33	8	13	7	0.538	6	2	2	0.0045	0.0028	gene-LOC115933209	2	primary_sufficient
gene-ANKRD30A	NC_073232.2	81852722	82000071	-	54	8	13	13	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-AKT3	NC_073224.2	11623940	11968424	+	17	6	13	13	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115931242	NC_073224.2	29037999	29068184	+	56	8	13	0	0.0	13	5	12	0.019	0.0033	NC_073240.2:intergenic	3	secondary_dependent_identifiable
